carat,cut,color,clarity,price,stra.index
0.71,Premium,F,VS1,2765,4
0.76,Ideal,H,SI1,2765,5
0.64,Ideal,G,VVS1,2766,5
0.71,Premium,G,VS2,2766,4
0.71,Premium,G,VS2,2766,4
0.7,Very Good,D,VS2,2767,3
0.7,Very Good,F,VS1,2767,3
0.71,Ideal,D,SI2,2767,5
0.7,Good,H,VVS2,2767,2
0.71,Very Good,G,VS1,2768,3
0.73,Very Good,D,SI1,2768,3
0.7,Very Good,D,SI1,2768,3
0.7,Ideal,E,SI1,2768,5
0.71,Premium,D,SI2,2768,4
0.74,Ideal,I,SI1,2769,5
0.71,Premium,D,VS2,2770,4
0.73,Premium,G,VS2,2770,4
0.76,Very Good,F,SI1,2770,3
0.76,Ideal,D,SI2,2770,5
0.71,Ideal,F,SI1,2770,5
0.73,Premium,G,VS2,2770,4
0.73,Premium,G,VS1,2770,4
0.73,Ideal,D,SI2,2770,5
0.73,Premium,G,VS2,2770,4
0.72,Very Good,H,VVS2,2771,3
0.73,Very Good,F,SI1,2771,3
0.71,Ideal,G,VS2,2771,5
0.79,Ideal,F,SI2,2771,5
0.73,Very Good,H,VVS1,2772,3
0.8,Very Good,F,SI2,2772,3
0.58,Ideal,G,VVS1,2772,5
0.58,Ideal,F,VVS1,2772,5
0.71,Good,E,VS2,2772,2
0.75,Ideal,D,SI2,2773,5
0.7,Premium,D,VS2,2773,4
1.17,Very Good,J,I1,2774,3
0.6,Ideal,E,VS1,2774,5
0.7,Ideal,E,SI1,2774,5
0.83,Good,I,VS2,2774,2
0.74,Very Good,F,VS2,2775,3
0.72,Very Good,G,VS2,2776,3
0.71,Premium,E,VS2,2776,4
0.71,Ideal,E,VS2,2776,5
0.54,Ideal,E,VVS2,2776,5
0.54,Ideal,E,VVS2,2776,5
0.72,Ideal,G,SI1,2776,5
0.72,Ideal,G,SI1,2776,5
0.72,Good,G,VS2,2776,2
0.71,Ideal,G,SI1,2776,5
0.7,Very Good,D,VS1,2777,3
0.71,Premium,F,VS2,2777,4
0.71,Very Good,F,VS2,2777,3
0.71,Good,F,VS2,2777,2
0.71,Good,F,VS2,2777,2
0.7,Ideal,E,VS2,2777,5
0.7,Premium,E,VS2,2777,4
0.7,Premium,E,SI1,2777,4
0.7,Premium,E,SI1,2777,4
0.7,Premium,E,SI1,2777,4
0.7,Premium,E,SI1,2777,4
0.7,Premium,E,SI1,2777,4
0.7,Ideal,E,SI1,2777,5
0.72,Premium,F,SI1,2777,4
0.7,Very Good,E,SI1,2777,3
0.7,Premium,E,SI1,2777,4
0.7,Premium,E,SI1,2777,4
0.7,Good,E,VS2,2777,2
0.98,Fair,H,SI2,2777,1
0.78,Premium,F,SI1,2777,4
0.7,Very Good,E,SI1,2777,3
0.52,Ideal,F,VVS1,2778,5
0.73,Very Good,H,VS2,2779,3
0.74,Ideal,E,SI1,2779,5
0.7,Very Good,F,VS2,2780,3
0.77,Premium,G,VS2,2780,4
0.71,Ideal,F,VS2,2780,5
0.74,Ideal,G,VS1,2780,5
0.7,Ideal,G,VS1,2780,5
1.01,Premium,F,I1,2781,4
0.77,Ideal,H,SI1,2781,5
0.78,Ideal,H,SI1,2781,5
0.72,Very Good,H,VS1,2782,3
0.53,Very Good,D,VVS2,2782,3
0.76,Ideal,G,VS2,2782,5
0.7,Good,E,VS1,2782,2
0.7,Premium,E,VS1,2782,4
0.75,Very Good,D,SI2,2782,3
0.72,Ideal,D,SI1,2782,5
0.72,Premium,D,SI1,2782,4
0.7,Premium,D,SI1,2782,4
0.84,Fair,G,SI1,2782,1
0.75,Premium,F,SI1,2782,4
0.52,Ideal,F,IF,2783,5
0.72,Very Good,F,VS2,2784,3
0.79,Very Good,H,VS1,2784,3
0.72,Very Good,F,VS2,2787,3
0.51,Ideal,F,VVS1,2787,5
0.64,Ideal,D,VS1,2787,5
0.7,Very Good,H,VVS1,2788,3
0.83,Very Good,I,VS1,2788,3
0.76,Ideal,I,VVS2,2788,5
0.71,Good,D,VS2,2788,2
0.77,Good,G,VS1,2788,2
0.71,Ideal,F,SI1,2788,5
1.01,Fair,E,I1,2788,1
1.01,Premium,H,SI2,2788,4
0.77,Good,F,SI1,2789,2
0.76,Good,E,SI1,2789,2
0.76,Premium,E,SI1,2789,4
0.76,Premium,E,SI1,2789,4
1.05,Very Good,J,SI2,2789,3
0.81,Ideal,G,SI2,2789,5
0.7,Ideal,E,SI1,2789,5
0.55,Ideal,G,IF,2789,5
0.81,Good,G,SI2,2789,2
0.63,Premium,E,VVS2,2789,4
0.63,Premium,E,VVS1,2789,4
0.77,Premium,H,VS1,2789,4
1.05,Fair,J,SI2,2789,1
0.64,Ideal,G,IF,2790,5
0.76,Premium,I,VVS1,2790,4
0.83,Ideal,F,SI2,2790,5
0.71,Premium,F,VS1,2790,4
0.71,Premium,F,VS1,2790,4
0.87,Very Good,I,SI1,2791,3
0.73,Ideal,E,SI1,2791,5
0.71,Premium,E,SI1,2792,4
0.71,Premium,E,SI1,2792,4
0.71,Ideal,E,SI1,2792,5
0.7,Premium,F,VS1,2792,4
0.7,Premium,F,VS1,2792,4
0.76,Premium,H,VVS2,2792,4
0.7,Ideal,F,VS1,2792,5
0.79,Very Good,G,SI1,2793,3
0.7,Very Good,E,VS2,2793,3
0.7,Good,E,VS2,2793,2
0.76,Ideal,I,VS2,2793,5
0.73,Ideal,H,VS2,2793,5
0.79,Very Good,E,SI1,2794,3
0.71,Very Good,E,VS2,2795,3
0.81,Premium,I,VVS2,2795,4
0.81,Ideal,F,SI2,2795,5
0.72,Good,F,VS1,2795,2
0.72,Premium,D,SI2,2795,4
0.72,Premium,I,IF,2795,4
0.81,Premium,H,VS2,2795,4
0.72,Premium,G,VS2,2795,4
1,Premium,I,SI2,2795,4
0.73,Good,E,SI1,2796,2
0.81,Very Good,H,SI2,2797,3
0.81,Very Good,E,SI1,2797,3
0.71,Premium,D,SI1,2797,4
0.71,Premium,D,SI1,2797,4
0.71,Premium,D,SI1,2797,4
0.57,Ideal,F,VVS2,2797,5
0.51,Ideal,D,VVS1,2797,5
0.72,Ideal,G,VS2,2797,5
0.74,Ideal,H,VS1,2797,5
0.74,Ideal,H,VS1,2797,5
0.7,Fair,G,VVS1,2797,1
0.8,Premium,F,SI2,2797,4
1.01,Fair,E,SI2,2797,1
0.8,Very Good,H,VS2,2797,3
0.77,Ideal,I,VS1,2798,5
0.83,Very Good,E,SI2,2799,3
0.82,Ideal,F,SI2,2799,5
0.78,Ideal,D,SI1,2799,5
0.6,Very Good,G,IF,2800,3
0.9,Good,I,SI2,2800,2
0.7,Premium,E,VS1,2800,4
0.9,Very Good,I,SI2,2800,3
0.83,Ideal,G,SI1,2800,5
0.83,Ideal,G,SI1,2800,5
0.83,Very Good,H,SI1,2800,3
0.74,Premium,G,VS1,2800,4
0.79,Ideal,I,VS1,2800,5
0.61,Ideal,G,IF,2800,5
0.76,Fair,G,VS1,2800,1
0.96,Ideal,F,I1,2801,5
0.73,Ideal,F,VS2,2801,5
0.73,Premium,F,VS2,2801,4
0.75,Ideal,H,SI1,2801,5
0.71,Premium,F,VS2,2801,4
0.71,Good,F,VS2,2801,2
0.71,Good,F,VS2,2801,2
0.71,Premium,F,VS2,2801,4
1.04,Premium,G,I1,2801,4
1,Premium,J,SI2,2801,4
0.87,Very Good,G,SI2,2802,3
0.53,Ideal,F,IF,2802,5
0.72,Premium,E,VS2,2802,4
0.72,Premium,F,VS1,2802,4
0.7,Very Good,F,VS2,2803,3
0.74,Very Good,E,SI1,2803,3
0.71,Ideal,G,VS2,2803,5
0.73,Ideal,E,SI1,2803,5
0.7,Good,G,VS1,2803,2
0.71,Premium,F,VS2,2803,4
0.71,Premium,F,VS2,2803,4
0.71,Premium,G,VS1,2803,4
0.77,Premium,G,VS2,2803,4
0.71,Premium,G,VS2,2803,4
0.78,Premium,G,VS2,2803,4
0.71,Very Good,G,VS1,2803,3
0.91,Ideal,D,SI2,2803,5
0.71,Very Good,E,VS2,2804,3
0.71,Very Good,E,VS2,2804,3
0.8,Very Good,E,SI2,2804,3
0.7,Very Good,D,SI1,2804,3
0.72,Ideal,F,VS1,2804,5
0.72,Very Good,F,VS1,2804,3
0.82,Ideal,H,VS2,2804,5
0.7,Ideal,D,SI1,2804,5
0.72,Ideal,D,SI1,2804,5
0.72,Ideal,D,SI1,2804,5
0.9,Fair,I,SI1,2804,1
0.74,Premium,F,VS2,2805,4
0.74,Premium,F,VS2,2805,4
0.73,Ideal,E,SI2,2805,5
0.57,Fair,E,VVS1,2805,1
0.73,Premium,F,VS2,2805,4
0.72,Ideal,G,VS2,2805,5
0.74,Fair,F,VS2,2805,1
0.82,Good,G,VS2,2805,2
0.81,Very Good,G,SI1,2806,3
0.75,Very Good,H,VVS1,2806,3
0.7,Ideal,F,SI1,2806,5
0.71,Very Good,F,VS1,2807,3
0.71,Very Good,F,VS1,2807,3
0.93,Premium,J,SI2,2807,4
0.8,Very Good,H,VS2,2808,3
0.7,Very Good,F,VS1,2808,3
1,Fair,G,I1,2808,1
0.75,Very Good,G,VS2,2808,3
0.58,Ideal,E,VVS2,2808,5
0.73,Very Good,D,SI1,2808,3
0.81,Very Good,F,SI1,2809,3
0.81,Premium,D,SI2,2809,4
0.71,Premium,F,SI1,2809,4
1.2,Fair,F,I1,2809,1
0.7,Very Good,F,VS1,2810,3
0.7,Very Good,F,VS1,2810,3
0.74,Ideal,D,SI2,2810,5
0.7,Good,F,VS1,2810,2
0.8,Good,G,SI1,2810,2
0.75,Very Good,F,SI1,2811,3
0.83,Very Good,D,SI1,2811,3
1,Fair,J,VS2,2811,1
0.99,Fair,I,SI2,2811,1
0.7,Very Good,G,VS1,2812,3
0.7,Very Good,F,VS2,2812,3
0.7,Good,E,SI1,2812,2
0.7,Very Good,F,VS2,2812,3
0.32,Premium,I,SI1,554,4
0.32,Premium,I,SI1,554,4
0.32,Ideal,I,SI1,554,5
0.32,Premium,I,SI1,554,4
0.32,Very Good,I,SI1,554,3
0.32,Ideal,I,SI1,554,5
0.3,Premium,H,SI1,554,4
0.3,Premium,H,SI1,554,4
0.3,Premium,H,SI1,554,4
0.3,Very Good,H,SI1,554,3
0.3,Good,H,SI1,554,2
0.3,Ideal,H,SI1,554,5
0.3,Very Good,H,SI1,554,3
0.32,Good,I,SI1,554,2
0.33,Ideal,H,SI2,554,5
0.29,Very Good,E,VS1,555,3
0.29,Very Good,E,VS1,555,3
0.31,Very Good,F,SI1,555,3
0.34,Ideal,H,VS2,555,5
0.34,Ideal,H,VS2,555,5
0.34,Ideal,I,VS1,555,5
0.34,Ideal,I,VS1,555,5
0.3,Ideal,G,VS1,555,5
0.29,Ideal,F,VS1,555,5
0.35,Ideal,G,SI1,555,5
0.43,Very Good,E,I1,555,3
0.32,Very Good,F,VS2,556,3
0.36,Ideal,I,VS2,556,5
0.3,Ideal,G,VS2,556,5
0.26,Ideal,E,VS1,556,5
0.7,Very Good,F,VS2,2812,3
0.7,Very Good,F,VS2,2812,3
0.71,Ideal,D,SI1,2812,5
0.99,Fair,J,SI1,2812,1
0.73,Premium,E,VS2,2812,4
0.51,Ideal,F,VVS1,2812,5
0.91,Premium,G,SI2,2813,4
0.84,Very Good,E,SI1,2813,3
0.91,Good,I,VS2,2813,2
0.76,Premium,E,SI1,2814,4
0.76,Ideal,E,SI1,2814,5
0.75,Premium,E,SI1,2814,4
0.55,Very Good,D,VVS1,2815,3
0.76,Very Good,F,SI2,2815,3
0.74,Premium,G,VS1,2815,4
0.7,Ideal,H,SI1,2815,5
0.7,Ideal,H,SI1,2815,5
0.7,Ideal,H,SI1,2815,5
0.7,Ideal,H,SI1,2815,5
0.9,Fair,J,VS2,2815,1
0.95,Fair,F,SI2,2815,1
0.89,Premium,H,SI2,2815,4
0.72,Premium,E,VS2,2815,4
0.96,Fair,E,SI2,2815,1
1.02,Premium,G,I1,2815,4
0.78,Very Good,I,VVS2,2816,3
0.61,Ideal,G,VVS2,2816,5
0.71,Good,D,VS1,2816,2
0.78,Premium,F,SI1,2816,4
0.87,Ideal,H,SI2,2816,5
0.83,Ideal,H,SI1,2816,5
0.71,Premium,E,SI1,2817,4
0.71,Ideal,I,VVS2,2817,5
0.71,Ideal,E,VS2,2817,5
0.71,Premium,E,VS2,2817,4
0.63,Ideal,F,VVS2,2817,5
0.71,Premium,E,SI1,2817,4
0.71,Premium,E,SI1,2817,4
0.71,Ideal,E,SI1,2817,5
0.71,Premium,E,SI1,2817,4
0.9,Ideal,J,VS2,2817,5
0.71,Good,E,SI1,2817,2
0.7,Premium,E,VS2,2818,4
0.7,Premium,E,VS2,2818,4
0.7,Premium,E,VS2,2818,4
1,Premium,H,I1,2818,4
0.86,Premium,F,SI2,2818,4
0.8,Ideal,H,SI1,2818,5
0.7,Ideal,E,VS1,2818,5
0.7,Premium,E,VS1,2818,4
0.7,Premium,F,VS2,2818,4
0.7,Premium,E,VS1,2818,4
1,Fair,H,SI2,2818,1
0.72,Very Good,G,VS1,2819,3
0.72,Ideal,H,VS1,2819,5
0.7,Good,F,VS1,2819,2
0.86,Good,F,SI2,2819,2
0.71,Ideal,G,VS1,2820,5
0.75,Ideal,E,SI1,2821,5
0.73,Premium,E,VS2,2821,4
0.53,Ideal,E,VVS1,2821,5
0.73,Premium,E,SI1,2821,4
0.73,Good,E,SI1,2821,2
0.73,Premium,E,SI1,2821,4
0.73,Premium,E,SI1,2821,4
0.73,Premium,D,SI1,2821,4
0.73,Very Good,E,SI1,2821,3
0.7,Premium,E,VS1,2822,4
0.72,Premium,E,VS2,2822,4
0.72,Premium,E,VS2,2822,4
0.72,Premium,E,VS2,2822,4
0.7,Premium,E,VS2,2822,4
0.6,Ideal,F,VVS2,2822,5
0.74,Ideal,I,VVS1,2822,5
0.73,Ideal,F,SI1,2822,5
0.71,Premium,D,SI1,2822,4
0.71,Premium,D,SI1,2822,4
0.7,Premium,D,SI1,2822,4
0.7,Ideal,D,SI1,2822,5
0.9,Good,J,VS2,2822,2
0.71,Ideal,D,SI1,2822,5
0.7,Premium,E,VS2,2822,4
0.7,Premium,E,VS2,2822,4
0.7,Ideal,D,SI1,2822,5
0.7,Good,E,SI1,2822,2
0.7,Ideal,D,SI1,2822,5
0.7,Ideal,D,SI1,2822,5
0.7,Premium,E,VS2,2822,4
0.7,Premium,F,VS2,2822,4
0.7,Ideal,D,SI1,2822,5
0.79,Very Good,D,SI2,2823,3
0.9,Good,I,SI1,2823,2
0.71,Premium,E,VS2,2823,4
0.61,Ideal,E,VVS2,2823,5
0.9,Fair,H,SI2,2823,1
0.71,Ideal,E,SI1,2823,5
0.71,Premium,D,VS2,2824,4
0.77,Ideal,I,VVS2,2824,5
0.74,Good,E,VS1,2824,2
0.82,Ideal,F,SI2,2824,5
0.82,Premium,E,SI2,2824,4
0.71,Premium,G,VS1,2825,4
0.83,Premium,H,SI1,2825,4
0.73,Very Good,G,VS1,2825,3
0.83,Premium,H,SI1,2825,4
1.17,Premium,J,I1,2825,4
0.91,Fair,H,SI2,2825,1
0.73,Premium,E,VS1,2826,4
0.7,Good,E,VS1,2826,2
0.9,Premium,I,SI2,2826,4
0.7,Premium,E,VS1,2826,4
0.7,Very Good,D,VS2,2826,3
0.7,Premium,E,VS1,2826,4
0.9,Very Good,I,SI2,2826,3
0.78,Premium,F,SI1,2826,4
0.96,Ideal,F,I1,2826,5
0.7,Very Good,D,SI1,2827,3
0.72,Good,D,VS2,2827,2
0.79,Premium,H,VVS2,2827,4
0.7,Ideal,H,VVS1,2827,5
0.7,Ideal,H,VVS1,2827,5
0.7,Ideal,D,SI2,2828,5
1.01,Premium,H,SI2,2828,4
0.72,Premium,F,VS1,2829,4
0.8,Good,E,SI2,2829,2
0.59,Ideal,E,VVS1,2829,5
0.72,Ideal,F,VS1,2829,5
0.75,Premium,E,SI2,2829,4
0.8,Premium,E,SI2,2829,4
0.71,Very Good,E,VS2,2830,3
0.77,Very Good,H,SI1,2830,3
0.97,Ideal,F,I1,2830,5
0.53,Ideal,F,VVS1,2830,5
0.53,Ideal,F,VVS1,2830,5
0.8,Ideal,I,VS2,2830,5
0.9,Premium,G,SI1,2830,4
0.76,Very Good,E,SI2,2831,3
0.72,Ideal,E,SI1,2831,5
0.75,Ideal,E,SI1,2831,5
0.72,Premium,E,SI1,2831,4
0.79,Ideal,G,SI1,2831,5
0.72,Very Good,F,VS2,2832,3
0.91,Very Good,I,SI2,2832,3
0.71,Premium,G,VVS2,2832,4
0.81,Premium,G,SI1,2832,4
0.82,Ideal,H,SI1,2832,5
0.71,Premium,F,VS1,2832,4
0.9,Good,J,SI1,2832,2
0.8,Very Good,I,VS2,2833,3
0.56,Very Good,E,IF,2833,3
0.7,Very Good,D,VS2,2833,3
0.7,Ideal,D,VS2,2833,5
0.61,Ideal,F,VVS2,2833,5
0.85,Ideal,H,SI2,2833,5
0.7,Ideal,F,SI1,2833,5
0.8,Ideal,G,VS2,2834,5
0.8,Ideal,H,VS2,2834,5
0.51,Very Good,D,VVS1,2834,3
0.53,Ideal,F,VVS1,2834,5
0.78,Ideal,I,VS2,2834,5
0.9,Very Good,J,SI1,2834,3
0.9,Fair,G,SI2,2834,1
0.77,Ideal,E,SI2,2834,5
0.73,Ideal,F,VS1,2835,5
0.63,Ideal,F,VVS2,2835,5
0.7,Ideal,E,VS2,2835,5
0.72,Ideal,E,VS2,2835,5
0.72,Ideal,E,SI1,2835,5
0.75,Premium,F,VS2,2835,4
0.82,Very Good,H,SI1,2836,3
0.71,Good,E,VS2,2836,2
0.7,Premium,E,VS1,2837,4
0.7,Ideal,E,VS1,2837,5
0.71,Ideal,F,SI1,2838,5
0.76,Very Good,H,SI1,2838,3
0.82,Fair,F,SI1,2838,1
0.72,Premium,F,VS1,2838,4
0.7,Premium,F,VS2,2838,4
0.7,Premium,F,VS2,2838,4
0.7,Premium,G,VS1,2838,4
0.7,Premium,F,VS2,2838,4
0.7,Very Good,E,SI1,2838,3
0.7,Premium,F,VS2,2838,4
0.7,Premium,F,VS2,2838,4
0.7,Premium,G,VS1,2838,4
0.74,Very Good,E,SI1,2839,3
0.71,Ideal,F,VS1,2839,5
0.7,Ideal,F,VS1,2839,5
0.71,Ideal,F,VS1,2839,5
0.71,Premium,F,VS1,2839,4
0.71,Premium,F,VS1,2839,4
0.71,Premium,F,VS1,2839,4
0.7,Ideal,F,VS1,2839,5
0.73,Ideal,G,VS2,2839,5
0.7,Ideal,E,VS2,2839,5
0.7,Ideal,G,VS1,2839,5
0.71,Premium,G,VVS2,2839,4
0.71,Premium,F,VS1,2839,4
0.79,Premium,G,VS2,2839,4
0.71,Premium,F,VS1,2839,4
0.77,Very Good,H,VS1,2840,3
0.75,Very Good,F,SI2,2840,3
0.7,Ideal,F,SI1,2840,5
0.71,Premium,F,VS2,2840,4
0.92,Ideal,D,SI2,2840,5
0.83,Premium,F,SI2,2840,4
0.7,Premium,H,VVS1,2840,4
0.73,Premium,F,VS2,2841,4
0.71,Very Good,D,VS1,2841,3
0.73,Very Good,D,SI1,2841,3
0.82,Ideal,F,SI2,2841,5
0.82,Ideal,F,SI2,2841,5
0.82,Very Good,F,SI2,2841,3
0.52,Ideal,F,VVS1,2841,5
1,Premium,F,I1,2841,4
0.95,Fair,G,SI1,2841,1
0.73,Ideal,D,SI1,2841,5
0.73,Premium,F,VS2,2841,4
0.73,Premium,G,VS1,2841,4
0.8,Ideal,I,VS1,2842,5
0.7,Premium,F,VS2,2842,4
0.7,Very Good,E,VS2,2843,3
0.7,Very Good,E,VS2,2843,3
0.71,Very Good,E,VS2,2843,3
0.81,Very Good,F,SI2,2843,3
0.71,Very Good,D,SI1,2843,3
0.73,Ideal,G,VVS2,2843,5
0.73,Very Good,F,VS1,2843,3
0.72,Ideal,E,VS2,2843,5
0.81,Ideal,F,SI2,2843,5
0.71,Ideal,G,VVS2,2843,5
0.73,Very Good,E,SI1,2844,3
0.7,Very Good,E,VS1,2844,3
1.01,Ideal,I,I1,2844,5
1.01,Good,I,I1,2844,2
0.79,Ideal,H,VS2,2844,5
0.7,Very Good,E,VS2,2845,3
0.7,Very Good,E,VS2,2845,3
0.8,Good,H,VS2,2845,2
1.27,Premium,H,SI2,2845,4
0.79,Ideal,D,SI1,2846,5
0.72,Very Good,F,VS1,2846,3
0.73,Ideal,H,VVS2,2846,5
1.01,Fair,H,SI2,2846,1
1.01,Good,H,I1,2846,2
0.73,Ideal,E,SI1,2846,5
0.7,Ideal,E,SI1,2846,5
0.7,Good,F,VS2,2846,2
0.77,Premium,E,SI1,2846,4
0.77,Premium,G,VS2,2846,4
0.77,Premium,G,VS1,2846,4
0.84,Very Good,H,SI1,2847,3
0.72,Ideal,E,SI1,2847,5
0.76,Premium,D,SI1,2847,4
0.7,Very Good,G,VVS2,2848,3
0.54,Ideal,D,VVS2,2848,5
0.75,Fair,D,SI2,2848,1
0.79,Good,E,SI1,2849,2
0.74,Very Good,E,VS1,2849,3
0.7,Very Good,E,VS2,2850,3
0.7,Ideal,F,VS2,2850,5
0.75,Ideal,J,SI1,2850,5
1.2,Very Good,H,I1,2850,3
0.8,Very Good,F,SI1,2851,3
0.66,Ideal,D,VS1,2851,5
0.87,Very Good,F,SI2,2851,3
0.86,Premium,H,SI1,2851,4
0.74,Ideal,F,SI1,2851,5
0.58,Very Good,E,IF,2852,3
0.78,Ideal,I,VS1,2852,5
0.74,Ideal,G,SI1,2852,5
0.73,Ideal,E,SI1,2852,5
0.91,Very Good,I,SI1,2852,3
0.71,Premium,F,VS2,2853,4
0.71,Good,G,VS1,2853,2
0.79,Ideal,D,SI2,2853,5
0.79,Premium,D,SI2,2853,4
0.71,Premium,E,SI1,2853,4
0.82,Premium,I,VS1,2853,4
0.78,Very Good,H,VS1,2854,3
0.7,Very Good,E,VS1,2854,3
1.12,Premium,H,I1,2854,4
0.73,Premium,E,VS2,2854,4
0.91,Fair,J,VS2,2854,1
0.91,Fair,J,VS2,2854,1
0.91,Good,J,VS2,2854,2
0.91,Fair,H,SI1,2854,1
0.7,Premium,E,VS1,2854,4
0.68,Premium,F,VVS2,2854,4
0.73,Very Good,F,VS2,2855,3
1.03,Good,J,SI1,2855,2
0.74,Premium,D,VS2,2855,4
0.98,Fair,E,SI2,2855,1
1.02,Fair,I,SI1,2856,1
1,Fair,G,SI2,2856,1
1.02,Ideal,H,SI2,2856,5
0.6,Ideal,F,VVS2,2856,5
0.8,Ideal,G,SI2,2856,5
0.97,Ideal,F,I1,2856,5
1,Fair,I,SI1,2856,1
0.26,Ideal,E,VS1,556,5
